term_id	cluster	term_name	intersection
11	WP:WP254	1	Apoptosis	BAK1,BID,BIRC2,BIRC3,BNIP3L,CASP1,CASP10,CASP3,CASP4,CASP7,CASP8,CFLAR,FAS,GZMB,IRF1,IRF2,IRF7,JUN,MCL1,MYC,NFKBIA,PMAIP1,PRF1,RELA,RIPK1,TNFRSF1A,TNFRSF1B,TNFSF10,TRADD
12	WP:WP1772	1	Apoptosis modulation and signaling	BIRC3,CASP1,CASP4,CFLAR,FAS,HSPA1A,JUN,MCL1,MYD88,PMAIP1,TNFRSF1B,TNFSF10,TRADD
13	GO:0006915	1	apoptotic process	ACTN1,ADA,ADAR,AIF1,AIM2,AKR1C3,AKT1S1,ANP32B,ANXA1,ANXA5,ARL6IP1,ARL6IP5,ARRB2,ATF3,ATG3,B4GALT1,BAD,BAG1,BAK1,BCL2L13,BCL2L14,BID,BIN1,BIRC2,BIRC3,BLOC1S2,BMPR2,BNIP3L,BRCA2,BTG1,BTG2,C1QBP,C3orf38,CALR,CAPN2,CARD16,CASP1,CASP10,CASP3,CASP4,CASP7,CASP8,CAST,CAT,CCL2,CCL3,CCL5,CCR7,CD14,CD2,CD27,CD38,CD3E,CD40,CD44,CD74,CDC73,CDKN1B,CDKN2D,CEBPB,CFL1,CFLAR,CHMP3,CIB1,CITED2,CORO1A,CREB3,CRIP1,CSRNP1,CTNNBL1,CTSB,CTSC,CTSD,CTSH,CTSL,CUL1,CXCL10,CXCR3,CXCR4,CYCS,CYLD,DAD1,DAP3,DDAH2,DDIT4,DDX3X,DDX5,DEDD2,DFFA,DNAJA1,DNAJB6,DOCK8,DRAM1,DYNLL1,EGLN2,EI24,EIF2AK2,EIF5A,ELMO2,ENO1,ERP29,EVI2B,FAS,FLNA,GADD45B,GAPDH,GBE1,GCLM,GFER,GGCT,GIMAP8,GNAI3,GPX1,GRINA,GRN,GSTP1,GZMB,HAX1,HCLS1,HDAC1,HDGF,HERPUD1,HIF1A,HINT1,HIPK2,HMGB1,HMGB2,HNRNPK,HRAS,HSP90AA1,HSP90AB1,HSPA1A,HSPA1B,HSPA5,HSPB1,HSPD1,ID3,IDO1,IER3,IFI16,IFI27,IFI6,IFIT2,IFIT3,IKBKE,IL1B,IL7R,IRF1,IRF7,ITGA4,ITGB1,ITGB2,ITM2C,IVNS1ABP,JAK2,JTB,JUN,LAMP3,LCK,LGALS1,LGALS3,LGALS9,LGMN,LYN,MAEA,MAP1S,MAPK1,MAX,MCL1,MDK,MEF2A,MNDA,MRPL41,MTCH1,MTFP1,MX1,MYC,MYD88,NAA16,NACA,NBN,NCF1,NCK1,NCKAP1L,NDUFA13,NFE2L2,NFKBIA,NISCH,NME1,NPM1,NUP62,P2RX4,PA2G4,PARK7,PDCD10,PDCD5,PDCD6,PDIA3,PHB,PHB2,PHLDA1,PIM1,PIM2,PIM3,PINK1,PKN2,PLAC8,PLAUR,PLK3,PLSCR1,PMAIP1,PML,POR,PPIF,PPP1CA,PPP1R15A,PPP2R5C,PRDX2,PRDX3,PRDX5,PRF1,PRMT2,PSMG2,PTMA,PTPRC,RAD9A,RALB,RASSF5,RB1,RB1CC1,RBCK1,RELA,RGCC,RIPK1,RIPK2,RNF130,RPL10,RPL26,RPS27L,RPS3,RPS3A,RPS6,RPS6KA1,RPS7,RRAGC,RSL1D1,RTN4,S100A8,S100A9,SAP18,SDF2L1,SERPINB9,SET,SGK1,SH3GLB1,SH3KBP1,SHISA5,SIVA1,SLC25A5,SLC25A6,SNX6,SOCS3,SOD1,SOD2,SP100,SQSTM1,SRGN,SRSF6,ST3GAL1,STAT1,STK17A,STK17B,STK24,TAF9,TAX1BP1,TGFB1,TGFBR2,THOC1,THOC6,TIA1,TICAM1,TIMP1,TMBIM1,TMBIM6,TMEM109,TMEM219,TNFAIP3,TNFAIP8,TNFAIP8L1,TNFRSF1A,TNFRSF1B,TNFSF10,TOMM22,TPT1,TRADD,TRAF3,TRIM69,TSC22D3,TSPO,TXNIP,TYROBP,UBB,UBE2B,UBE2D3,UBE2Z,UCP2,VAV1,VDAC1,VDAC2,XAF1,XBP1,YBX3,YME1L1,YWHAB,YWHAH,YWHAQ,ZBP1,ZDHHC16,ZFAND6,ZFP36,ZFP36L1
14	KEGG:05320	1	Autoimmune thyroid disease	CD40,CD86,FAS,GZMB,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,PRF1
15	GO:0030881	1	beta-2-microglobulin binding	FCGRT,HLA-A,HLA-E,HLA-F,MR1
16	GO:0044419	1	biological process involved in interspecies interaction between organisms	ACP5,ACTA2,ACTG1,ACTR3,ADAR,AIF1,AIM2,AKIRIN2,ANXA1,APOBEC3A,APOBEC3B,APOBEC3C,APOBEC3G,APOL1,APPL1,ARF1,ARID5A,ARL8B,ARRB2,ATG12,AUP1,B2M,BAK1,BANF1,BIRC2,BIRC3,BNIP3L,BSG,BST2,C15orf48,C17orf62,C1QBP,CALCOCO2,CAPN2,CARD16,CASP1,CASP3,CASP4,CASP8,CCL2,CCL3,CCL4,CCL5,CCL7,CCL8,CCR7,CCT5,CD14,CD2,CD4,CD40,CD47,CD55,CD58,CD68,CD74,CD86,CDC73,CDHR3,CEBPB,CFL1,CHMP3,CHMP5,CMPK2,CNP,CNPY3,CORO1A,COTL1,CREB3,CRK,CRTAM,CTR9,CTSB,CTSL,CXCL10,CXCL11,CXCR4,CYBA,CYLD,DDIT4,DDX1,DDX17,DDX21,DDX3X,DDX58,DDX60,DHX58,DHX9,DTX3L,DYNLT1,EEF1G,EIF2AK2,EIF5A,ENO1,EXOC1,EXOSC4,FAM49B,FAU,FCER1G,FGL2,FKBP5,FMR1,FOS,FYN,GAPDH,GBP1,GBP2,GBP3,GBP4,GBP5,GBP7,GCH1,GFER,GNLY,GPX1,GRN,GSDMD,GSTP1,GZMA,GZMB,HDAC1,HERC5,HERC6,HIF1A,HIST1H2BJ,HIST1H2BK,HK1,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DRB1,HLA-E,HLA-F,HMGB1,HMGB2,HNRNPA0,HNRNPUL1,HRAS,HSP90AA1,HSP90AB1,HSPA1A,HSPA1B,HSPB1,HSPD1,IDO1,IFI16,IFI27,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IFNAR1,IFNG,IFNGR1,IGLL5,IKBKE,IL10RA,IL15,IL1B,IL23A,IL7R,IL8,ILF3,IPO7,IRF1,IRF2,IRF7,IRF8,IRF9,ISG15,ISG20,ITGB1,ITGB7,IVNS1ABP,JAGN1,JAK1,JAK2,JUN,KLHL6,KYNU,LAG3,LAMP1,LCK,LGALS1,LGALS3,LGALS8,LGALS9,LITAF,LY6E,LYN,LYZ,MAP2K3,MAPK1,MICB,MLKL,MNDA,MOV10,MR1,MSRB1,MX1,MX2,MYD88,N4BP1,NCF1,NCK1,NFE2L2,NFKBIA,NLRC5,NMI,NPC2,NT5C3A,NUB1,OAS1,OAS2,OAS3,OASL,OPTN,PARP14,PARP9,PCBP2,PDCD4,PDE4B,PELI1,PHB,PHB2,PIM2,PLAC8,PLSCR1,PMAIP1,PML,PPP1R14B,PPP2R3C,PQBP1,PRDX2,PRDX3,PRF1,PSMA3,PSMA4,PSMA5,PSMA6,PSMB10,PSMB3,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSTPIP1,PTGER4,PTPRC,RAB1A,RAB7A,RAB7L1,RAB9A,RBCK1,RBM14,RBPJ,RELA,RELB,RGS1,RIPK2,RNASET2,RNF166,RNF213,RNF5,RPL13A,RPL30,RPS15A,RPS19,RPSA,RSAD2,RTP4,S100A8,S100A9,SAMHD1,SCARB2,SCIMP,SERPINB9,SIVA1,SLAMF7,SLC17A5,SLC1A5,SLC3A2,SNX3,SOCS1,SOD2,SP100,SPN,ST13,STAP1,STAT1,STAT2,STMN1,STOM,STXBP3,TAB2,TBK1,TGFB1,THOC1,THOC5,THOC6,TICAM1,TLR7,TMEM106A,TMEM229B,TNFAIP3,TNFRSF14,TNFRSF1A,TNFRSF1B,TNFSF8,TNK2,TPT1,TRAF3,TRAFD1,TRIM14,TRIM21,TRIM22,TRIM25,TRIM26,TRIM38,TRIM44,TRIM5,TRIM56,TRIM8,TSPO,TUBB,TYK2,TYROBP,UNC93B1,USP15,USP18,UVRAG,VAMP8,VAV1,VIM,WAS,WASL,WIPF1,XBP1,XIAP,XRCC5,XRCC6,ZBP1,ZC3HAV1,ZFP36,ZNFX1
17	GO:0048020	1	CCR chemokine receptor binding	CCL2,CCL3,CCL4,CCL5,CCL7,CCL8,CCRL2,CNIH4,CREB3,JAK1,STAT1
18	GO:0001775	1	cell activation	ACTA2,ACTB,ACTG1,ADA,AIF1,ANXA1,AP3B1,AZI2,B2M,BAD,BAK1,BST2,BTN3A1,C1GALT1C1,CASP3,CASP8,CCL2,CCL3,CCL5,CCR7,CD2,CD27,CD38,CD3E,CD4,CD40,CD44,CD47,CD48,CD55,CD74,CD79A,CD83,CD86,CD9,CEBPB,CLIC1,CLPTM1,CMTM7,CORO1A,CRTAM,CTSC,CTSL,CXCL10,DCLRE1C,DOCK8,EBI3,ERCC1,FAM49B,FBXO7,FCER1G,FERMT3,FGL2,FKBP1A,FLNA,FYN,GAPT,GCLM,GPR137B,GPR183,GRN,HBB,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HMGB1,HSPB1,HSPD1,HSPH1,ID2,IDO1,IFI35,IFNGR1,IGLL5,IKZF1,IL15,IL15RA,IL1B,IL21R,IL23A,IL4I1,IL7R,IL8,ILK,IRF1,IRF2BP2,IRF8,ITGA4,ITGB1,ITGB2,ITM2A,JAK2,JUN,KAT5,KLF6,LAG3,LAMP1,LAPTM5,LCK,LCP2,LGALS1,LGALS3,LGALS9,LMO4,LYN,MAD1L1,MDK,MICB,MNDA,MR1,MSN,MYD88,MYL12A,NBN,NCK1,NCKAP1L,NDFIP1,NMI,P2RX4,PELI1,PHB,PHB2,PLEK,PLSCR1,PNP,PPP2R3C,PRDX2,PRF1,PSMB10,PTGER4,PTPRC,RAB7L1,RAC2,RASAL3,RBPJ,RELB,RGCC,RIF1,RIPK2,RNF168,RPL22,RPS3,RPS6,RPS6KA1,RSAD2,SAMSN1,SH3KBP1,SIT1,SKAP2,SLAMF7,SLC25A5,SNAP23,SOCS1,SOD1,SPN,ST3GAL1,STAP1,STAT3,STXBP3,TBC1D10C,TBK1,TGFB1,TGFBR2,THEMIS2,THOC1,TICAM1,TIMP1,TMEM106A,TNFAIP3,TNFRSF14,TNFRSF1B,TNFSF13B,TNFSF8,TYK2,TYROBP,VAMP2,VAMP8,VAV1,WAS,XBP1,XRCC6,ZFP36L1,ZFP36L2
19	GO:0007155	1	cell adhesion	ABL2,ACTB,ACTG1,ACTN1,ADA,AIF1,ANXA1,ANXA2,ARHGDIB,ARPC2,B2M,B4GALT1,BAD,BSG,C1QBP,CALR,CASP3,CCL2,CCL4,CCL5,CCR7,CD164,CD2,CD27,CD2AP,CD3E,CD4,CD44,CD47,CD55,CD63,CD74,CD83,CD86,CD9,CDHR3,CEBPB,CIB1,CITED2,CLIC1,CORO1A,CRK,CRTAM,CXCR3,CXCR4,CYTH1,CYTIP,DNAJB6,DOCK8,DUSP1,EBI3,ELMO2,EZR,FAM49B,FERMT3,FGL2,FLNA,FLOT1,FXYD5,FYN,GBP1,GCNT2,HAPLN3,HBB,HLA-A,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-E,HMGB1,HPSE,HSPB1,HSPD1,ICAM2,IDO1,IL15,IL1B,IL1RN,IL23A,IL7R,IL8,ILK,IRF1,ITGA4,ITGAE,ITGB1,ITGB2,ITGB7,JAK1,JAK2,KAT5,LAG3,LAPTM5,LCK,LGALS1,LGALS3,LGALS3BP,LGALS9,LIMS1,LYN,MAD1L1,MAEA,MDK,MIA3,MSN,MYL12A,MYO1G,NCK1,NCKAP1L,NDFIP1,NEXN,NINJ1,PBXIP1,PELI1,PKN2,PLAUR,PLEK,PML,PNP,PPP1CA,PRDX2,PRKD2,PRKX,PSTPIP1,PTPRA,PTPRC,RAB10,RAB1A,RASAL3,RDX,RELA,RGCC,RIPK2,RPS3,RPSA,RTN4,S100A10,S100A11,S100A8,S100A9,SELL,SLAMF7,SOCS1,SPN,STX3,STXBP3,SYNJ2BP,TGFB1,TGFBR2,THEMIS2,TMOD3,TNFRSF14,TNFSF13B,TRIP6,TYK2,UTRN,VAV1,XBP1,ZFP36L1
20	KEGG:04514	1	Cell adhesion molecules	CD4,CD40,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,ICAM2,ITGA4,ITGB2,ITGB7,PTPRC,SELL,SPN
21	GO:0098609	1	cell-cell adhesion	ACTB,ACTG1,ADA,AIF1,ANXA1,ANXA2,B2M,BAD,BSG,CASP3,CCL2,CCL5,CCR7,CD164,CD2,CD27,CD2AP,CD3E,CD4,CD44,CD47,CD55,CD74,CD83,CD86,CD9,CDHR3,CEBPB,CITED2,CLIC1,CORO1A,CRTAM,DNAJB6,DOCK8,EBI3,ELMO2,EZR,FAM49B,FERMT3,FGL2,FLNA,FLOT1,FXYD5,FYN,GCNT2,HBB,HLA-A,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-E,HMGB1,HSPB1,HSPD1,HSPH1,ICAM2,IDO1,IL15,IL1B,IL1RN,IL23A,IL4I1,IL7R,ILK,IRF1,ITGA4,ITGAE,ITGB1,ITGB2,ITGB7,JAK1,JAK2,KAT5,LAG3,LAPTM5,LCK,LGALS1,LGALS3,LGALS9,LIMS1,LYN,MAD1L1,MDK,MIA3,MSN,MYL12A,NCK1,NCKAP1L,NDFIP1,NEXN,NINJ1,PELI1,PLAUR,PLEK,PNP,PPP1CA,PRDX2,PTPRC,RAB10,RASAL3,RDX,RELA,RGCC,RIPK2,RPS3,S100A11,S100A8,S100A9,SELL,SOCS1,SPN,STXBP3,SYNJ2BP,TGFB1,TGFBR2,TMOD3,TNFRSF14,TNFSF13B,TYK2,VAV1,XBP1,ZFP36L1
22	GO:0007154	1	cell communication	ABHD2,ABI1,ABL2,ACTA2,ADA,ADAR,ADCY7,ADTRP,AIDA,AIF1,AIM2,AKAP13,AKAP7,AKR1C3,AKT1S1,ANXA1,ANXA5,AP3B1,AP3S1,APH1B,APLP2,APOL3,APPL1,AQP3,ARAP2,ARF1,ARF6,ARHGAP15,ARHGAP25,ARHGAP27,ARHGDIB,ARHGEF1,ARHGEF3,ARID5B,ARL2BP,ARL3,ARL6IP5,ARRB2,ASH1L,ATF3,ATP1A1,ATP2B1,ATP6AP2,AZI2,BAD,BAG1,BAK1,BBS7,BCL2L14,BID,BIRC2,BIRC3,BLOC1S2,BMPR2,BNIP3L,BRCA2,BRK1,BSG,BST2,BTN3A1,C1QBP,C3AR1,C9orf72,C9orf89,CA2,CACNA1A,CALR,CAMTA1,CARD16,CARHSP1,CASP1,CASP10,CASP3,CASP4,CASP8,CAT,CCL2,CCL3,CCL4,CCL5,CCL7,CCL8,CCND3,CCR7,CCRL2,CD14,CD164,CD2,CD27,CD2AP,CD38,CD3E,CD4,CD40,CD44,CD47,CD53,CD55,CD63,CD68,CD7,CD74,CD79A,CD83,CD86,CD8B,CDC42EP3,CDC73,CDKN1B,CDKN2D,CEBPB,CEP63,CFL1,CFLAR,CHRNB1,CHURC1,CIB1,CITED2,CKLF,CLEC2D,CLIC1,CMTM7,CMTM8,CNP,COMMD7,COMT,CORO1A,CREB3,CREBL2,CREBRF,CREM,CRIP1,CRK,CRLF3,CSRNP1,CTNNBIP1,CTR9,CTSC,CTSH,CTSS,CUL1,CXCL10,CXCL11,CXCR3,CXCR4,CYB5R4,CYBA,CYLD,CYTH1,DAP3,DAPP1,DDAH2,DDIT4,DDX1,DDX17,DDX21,DDX3X,DDX5,DDX58,DDX60,DEDD2,DEK,DENND1B,DERL1,DFFA,DHX58,DLGAP4,DNAJA1,DNAJC15,DOCK8,DOK2,DTNBP1,DTX3L,DUSP1,DUSP4,DUSP5,DYNLT1,EBI3,EEF1D,EGLN2,EIF2AK2,EIF3A,EIF4EBP1,EIF5A,ELF1,ENO1,ERAP2,ERP29,EVL,EXOC1,EZR,FABP5,FAM49B,FAS,FBXL15,FBXO22,FBXO6,FCER1G,FERMT3,FEZ2,FGD2,FKBP1A,FLNA,FLOT1,FMR1,FNBP1,FOS,FYN,GADD45B,GAPDH,GBP1,GBP7,GCLM,GCNT2,GFER,GGCT,GLIPR2,GLUL,GMFB,GMFG,GMIP,GNAI3,GNB2,GNB4,GNG5,GNG5P2,GPR108,GPR137B,GPR155,GPR171,GPR180,GPR183,GPX1,GRB2,GRINA,GRK6,GRN,GSDMD,GSTO1,GSTP1,GTPBP1,GZMB,HAX1,HBP1,HCLS1,HCST,HDAC1,HDAC7,HDGF,HERC4,HERPUD1,HERPUD2,HIF1A,HINT1,HIPK2,HIST1H2BJ,HLA-A,HLA-B,HLA-C,HLA-DPB1,HLA-DRB1,HLA-E,HMGB1,HMGB2,HNRNPA1,HNRNPK,HPSE,HRAS,HSH2D,HSP90AA1,HSP90AB1,HSPA1A,HSPA1B,HSPA5,HSPA8,HSPB1,HSPD1,IFI16,IFI27,IFI35,IFI6,IFIH1,IFIT5,IFITM1,IFITM2,IFITM3,IFNAR1,IFNG,IFNGR1,IFT88,IGFBP4,IGLL5,IGSF6,IKBKE,IL10RA,IL15,IL15RA,IL16,IL1B,IL1RN,IL21R,IL23A,IL2RG,IL32,IL7R,IL8,ILK,IMPA1,INSIG1,IQGAP2,IRF1,IRF2,IRF7,IRF8,IRF9,ISG15,ITGA4,ITGAE,ITGB1,ITGB2,ITGB7,ITM2C,IVNS1ABP,JAGN1,JAK1,JAK2,JUN,KAT5,KCNN4,KHDRBS1,KLF2,KLF5,KLHL6,KPNB1,LAG3,LAMP1,LAMP2,LAMTOR1,LAMTOR4,LAPTM5,LCK,LCP2,LEPROTL1,LGALS1,LGALS3,LGALS3BP,LGALS9,LGMN,LIMS1,LITAF,LNPEP,LPAR6,LRRFIP2,LSP1,LY6E,LYN,MAD1L1,MAD2L1BP,MANF,MAP1LC3A,MAP1LC3B,MAP2K3,MAP3K13,MAP3K2,MAP3K8,MAPK1,MAPK13,MASTL,MAX,MCL1,MCOLN1,MDK,MEF2A,MICB,MIDN,MIER1,MLKL,MNDA,MOB1A,MOB3C,MS4A7,MTCH1,MVP,MX1,MYC,MYD88,MYO1G,NABP1,NAMPT,NAPA,NBN,NCF1,NCK1,NCKAP1L,NCLN,NDFIP1,NDUFA13,NFE2L2,NFKBIA,NINJ1,NISCH,NLRC5,NMB,NMI,NPM1,NRAS,NRBP1,NUCB1,NUP62,OAS1,OAS2,OAS3,OASL,OPTN,P2RX4,PAFAH1B1,PAQR8,PARK7,PARP14,PARP9,PASK,PBXIP1,PCSK1N,PDCD10,PDCD4,PDCD5,PDCD6,PDE4B,PDE7A,PDIA3,PELI1,PFDN5,PHACTR4,PHB,PHB2,PHPT1,PIK3IP1,PIM1,PIM2,PIM3,PINK1,PITPNC1,PKN2,PLAUR,PLEK,PLEK2,PLIN2,PLK3,PLP2,PLSCR1,PMAIP1,PMEPA1,PML,POR,PPIF,PPP1CA,PPP1CC,PPP1R15A,PPP2R5C,PPP3CC,PRDX2,PRDX4,PRKD2,PRKD3,PRKX,PRMT1,PRMT2,PRR5,PSAP,PSENEN,PSMA3,PSMA4,PSMA5,PSMA6,PSMB10,PSMB3,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC5,PSMG2,PSTPIP1,PTGER4,PTPRA,PTPRC,PTPRE,PXK,RAB11FIP1,RAB18,RAB1A,RAB33A,RAB34,RAB35,RAB3GAP1,RAB4A,RAB5A,RAB7A,RAB7L1,RAB8A,RAB8B,RAB9A,RABIF,RAC2,RACGAP1,RAD9A,RALA,RALB,RANBP1,RAP1B,RASAL3,RASGEF1B,RASGRP3,RASSF5,RB1,RB1CC1,RBCK1,RBM14,RBPJ,RBX1,RDX,RELA,RELB,RFXANK,RGS1,RGS10,RGS14,RGS2,RHBDD2,RHBDF2,RHEB,RHOC,RHOF,RHOG,RICTOR,RIN3,RIPK1,RIPK2,RNASEH2B,RNF115,RNF13,RNF138,RNF19A,RNF213,RPF2,RPL22,RPL23,RPL26,RPL5,RPS12,RPS15,RPS27L,RPS3,RPS6,RPS6KA1,RPS6KA5,RPS6KB2,RPS7,RRAGC,RSAD2,RTN4,S100A11,S100A4,S100A6,S100A8,S100A9,S1PR4,SAMHD1,SCIMP,SDCBP,SERP1,SESN3,SGK1,SH3BP5,SH3GLB1,SH3KBP1,SHISA5,SIPA1L1,SIT1,SIVA1,SKAP2,SKI,SLC25A33,SLC25A5,SLC44A2,SLC6A6,SNAP23,SNAP29,SNX3,SNX6,SOCS1,SOCS3,SOD1,SOD2,SORL1,SP100,SPG20,SPG21,SPN,SPPL2A,SPSB2,SQSTM1,SRGN,SRI,SSNA1,STAP1,STAT1,STAT2,STAT3,STAT5A,STK17A,STK17B,STK24,STK38L,STMN1,STRAP,STX11,STX3,STXBP3,SUB1,SYF2,SYNJ2BP,TAB2,TAF9,TAGAP,TANK,TAX1BP3,TBC1D10C,TBC1D7,TBK1,TESPA1,TFG,TGFB1,TGFBR2,TGIF2,THEMIS2,THOC1,THOC5,TICAM1,TIMP1,TIPARP,TIPRL,TLE4,TLK2,TLR7,TMBIM1,TMBIM6,TMED4,TMEM106A,TMEM109,TMEM9B,TMSB4X,TNFAIP3,TNFAIP8L1,TNFRSF14,TNFRSF1A,TNFRSF1B,TNFSF10,TNFSF13B,TNFSF8,TNK2,TNKS2,TOM1,TPGS1,TPRA1,TPT1,TRADD,TRAF3,TRAP1,TRAT1,TRIM14,TRIM21,TRIM22,TRIM25,TRIM38,TRIM44,TRIM5,TRIM56,TRIM8,TRIP4,TRIP6,TSPO,TXN,TXNIP,TXNRD1,TYK2,TYMP,TYROBP,UBB,UBE2B,UBE2D1,UBE2D3,UBE2I,UBE3A,UBQLN2,UCP2,UNC93B1,USP10,USP15,USP18,VAMP2,VAMP8,VAV1,VDAC2,VIM,WAS,WASF2,WBP1L,WDFY1,WDR54,WSB1,XBP1,XIAP,YBX3,YWHAB,YWHAH,YWHAQ,ZBP1,ZC3HAV1,ZFAND6,ZFP36,ZFP36L1,ZFP36L2,ZNF207,ZNF675
